	0	Library Name	Location Name	Classification Code	Circ Desk Code	Loan Date	 DESCRIPTOR_IDOF(Loan Date)	Loans	Renewals	Returns
0	0	Mugar	boss-Stacks	B	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	10	0	5
1	0	Mugar	boss-Stacks	BF	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	0	0
2	0	Mugar	boss-Stacks	BJ	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	2	0	1
3	0	Mugar	boss-Stacks	BP	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	0	0
4	0	Mugar	boss-Stacks	BX	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	0	0
5	0	Mugar	boss-Stacks	CB	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	2	0	0
6	0	Mugar	boss-Stacks	DA	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	2	1	0
7	0	Mugar	boss-Stacks	DG	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	0	0
8	0	Mugar	boss-Stacks	DP	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	0	0
9	0	Mugar	boss-Stacks	DR	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	0	0
10	0	Mugar	boss-Stacks	DS	SC	2019-01-11	2019-01-11	2	0	0
11	0	Mugar	boss-Stacks	E	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	2	0	0
12	0	Mugar	boss-Stacks	F	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	0	0
13	0	Mugar	boss-Stacks	G	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	0	0
14	0	Mugar	boss-Stacks	GN	RES_DESK	2019-01-11	2019-01-11	2	0	1
15	0	Mugar	boss-Stacks	GT	RES_DESK	2019-01-11	2019-01-11	1	0	0
16	0	Mugar	boss-Stacks	HC	SC	2019-01-11	2019-01-11	1	0	0
17	0	Mugar	Off-site Storage: sign in and request to pick up only at Mugar, Science, or Pardee Library	HE	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	3	3	0
18	0	Mugar	boss-Stacks	HM	RES_DESK	2019-01-11	2019-01-11	1	0	0
19	0	Mugar	boss-Stacks	JC	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	2	0	1
20	0	Mugar	boss-Stacks	JF	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	1	1	0
21	0	Mugar	boss-Stacks	JV	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	3	0	0
22	0	Mugar	boss-Stacks	N	DEFAULT_CIRC_DESK	2019-01-11	2019-01-11	3	0	0
23	0	Mugar	Folio	N	RES_DESK	2019-01-11	2019-01-11	1	0	0
24	0	Mugar	boss-Stacks	N	RES_DESK	2019-01-11	2019-01-11	1	0	0
